[span_L5_s21_c1_z1_T1] start fitness 2999 / 4096  (CZ layer 1, LCX 1, TEMP 1.00, MAXMUT 3, KICK 8 gates after 60s stuck)
[2026-09-25 05:21:19] span_L5_s21_c1_z1_T1   1690s  best 3881/4096  current 3751  kicks 22  iters 57327556 (33928/s)  best: cx 26 tof 18
[2026-09-25 05:21:29] span_L5_s21_c1_z1_T1   1700s  best 3881/4096  current 3751  kicks 22  iters 57677172 (33927/s)  best: cx 26 tof 18
[2026-09-25 05:21:44] span_L5_s21_c1_z1_T1   1715s  best 3881/4096  current 3751  kicks 22  iters 58202220 (33943/s)  best: cx 26 tof 18
[2026-09-25 05:21:59] span_L5_s21_c1_z1_T1   1730s  best 3881/4096  current 3683  kicks 23  iters 58750181 (33961/s)  best: cx 26 tof 18
[2026-09-25 05:22:14] span_L5_s21_c1_z1_T1   1745s  best 3881/4096  current 3765  kicks 23  iters 59267318 (33965/s)  best: cx 26 tof 18
[2026-09-25 05:22:29] span_L5_s21_c1_z1_T1   1760s  best 3881/4096  current 3773  kicks 23  iters 59792147 (33963/s)  best: cx 26 tof 18
[2026-09-25 05:22:44] span_L5_s21_c1_z1_T1   1775s  best 3881/4096  current 3773  kicks 23  iters 60265184 (33946/s)  best: cx 26 tof 18
[2026-09-25 05:22:54] span_L5_s21_c1_z1_T1   1785s  best 3881/4096  current 3773  kicks 23  iters 60585744 (33934/s)  best: cx 26 tof 18
[2026-09-25 05:23:09] span_L5_s21_c1_z1_T1   1800s  best 3881/4096  current 3809  kicks 24  iters 61074097 (33926/s)  best: cx 26 tof 18
[span_L5_s21_c1_z1_T1] final best 3881 / 4096
